luki;treść
1;Studiowanie sprawia, że codziennie myślę o ____.
1;Nie ma to jak wykład z ____ z samego rana.
1;Na egzaminie można mieć kartkę, długopis, kalkulator i ____.
1;Co będzie na egzaminie?
1;____: Uczy i bawi!
1;____? Nasi fachowcy tym się zajmą!
1;Z czego słynie Szczebrzeszyn?
1;____ i jest impreza!
1;Hasło wyborcze mojej partii brzmi: "____ w każdym polskim domu!".
2;Niewielu ludzi wie, że grecki bóg Hefajstos jest patronem ____ oraz ____.
1;Czterej Pancerni i ____
1;Ala ma kota a kot ma ____.
1;Bardzo mi przykro ale regulamin zabrania ____ pod prysznicem.
1;Co sprawiło sąsiadowi kolejną nieprzespaną noc?
1;W podstawówce notorycznie lądowałem na dywaniku dyrektora za ____.
1;Czego wstydzi się Batman?
1;Co pamiętam po ostatniej imprezie?
1;Pracuję 80 godzin tygodniowo i nadal nie stać mnie na ____.
1;Co spowodowało, że Sahara stała się pustynią?
1;Przychodzi baba do lekarza, a tam ____.
1;Co stoi na przeszkodzie aby na całym świecie zapanowała miłość?
1;Co ukrywam przed rodzicami?
1;Co uwielbiam w swojej pracy?
2;Przez ____ teraz panicznie boję się ____.
1;Uwaga! Produkt może zawierać śladowe ilości orzechów arachidowych oraz ____.
1;Co zmusiło pilota samolotu do awaryjnego lądowania?
1;Dlaczego płaczesz dziewczynko?
1;Tylko szlachta może pozwolić sobie na ____.
1;Dzięki diecie "____" szybko i bezproblemowo udało mi się pozbyć 15 zbędnych kilogramów!
1;Co stoi na przeszkodzie studentowi do osiągnięcia szczęścia?
1;Do pełni szczęścia brakuje mi tylko 5,0 za projekt z Pythona i ____.
1;____. Wskazówka: To jest proste [Jacek Cichoń]
